Ordinal;Type;nByte;Mnemonic;Operands;MemoryOffset;Data;CodeAddress;FlowId;ESI;EDI;EAX;EBX;ECX;EDX;ESP;EBP
1;Read ;4;mov;eax, dword ptr [esi + ecx*4 - 8];000e98a7;80 00 00 2c ;7c62af70;1;037f28c7;0019c740;037f28cf;0019c6f0;00000002;00000000;0019c6e8;0019c6f0
2;Read ;4;mov;eax, dword ptr [esi + ecx*4 - 4];000e98ab;00 00 00 7e ;7c62af78;1;037f28c7;0019c740;2c000080;0019c6f0;00000002;00000000;0019c6e8;0019c6f0
3;Read ;4;mov;eax, dword ptr [esi + ecx*4 - 8];000e989f;80 00 00 00 ;7c62af70;2;037f28bf;0019c740;037f28c7;0019c6f0;00000002;00000000;0019c6e8;0019c6f0
4;Read ;4;mov;eax, dword ptr [esi + ecx*4 - 4];000e98a3;00 0e 98 9f ;7c62af78;2;037f28bf;0019c740;00000080;0019c6f0;00000002;00000000;0019c6e8;0019c6f0
5;Read ;4;mov;eax, dword ptr [esi + ecx*4 - 8];00000000;4a 4c 1a 00 ;7c62af70;3;03709020;0019c740;03709028;0019c6f0;00000002;00000000;0019c6e8;0019c6f0
6;Read ;4;mov;eax, dword ptr [esi + ecx*4 - 4];00000004;00 0e 98 af ;7c62af78;3;03709020;0019c740;001a4c4a;0019c6f0;00000002;00000000;0019c6e8;0019c6f0
7;Read ;4;rep movsd;dword ptr es:[edi], dword ptr [esi];0000007e;80 a5 77 6f ;7c62ae7a;4;0370909e;02ec2278;037090ca;0019c71c;0000000b;00000000;0019c714;0019c71c
8;Read ;4;rep movsd;dword ptr es:[edi], dword ptr [esi];00000082;72 64 73 5b ;7c62ae7a;4;037090a2;02ec227c;037090ca;0019c71c;0000000a;00000000;0019c714;0019c71c
9;Read ;4;rep movsd;dword ptr es:[edi], dword ptr [esi];00000086;77 6f 72 64 ;7c62ae7a;4;037090a6;02ec2280;037090ca;0019c71c;00000009;00000000;0019c714;0019c71c
10;Read ;4;rep movsd;dword ptr es:[edi], dword ptr [esi];0000008a;3a 53 5d 2c ;7c62ae7a;4;037090aa;02ec2284;037090ca;0019c71c;00000008;00000000;0019c714;0019c71c
11;Read ;4;rep movsd;dword ptr es:[edi], dword ptr [esi];0000008e;63 6f 6e 74 ;7c62ae7a;4;037090ae;02ec2288;037090ca;0019c71c;00000007;00000000;0019c714;0019c71c
12;Read ;4;rep movsd;dword ptr es:[edi], dword ptr [esi];00000092;65 6e 74 5b ;7c62ae7a;4;037090b2;02ec228c;037090ca;0019c71c;00000006;00000000;0019c714;0019c71c
13;Read ;4;rep movsd;dword ptr es:[edi], dword ptr [esi];00000096;69 64 3a 4c ;7c62ae7a;4;037090b6;02ec2290;037090ca;0019c71c;00000005;00000000;0019c714;0019c71c
14;Read ;4;rep movsd;dword ptr es:[edi], dword ptr [esi];0000009a;2c 63 6f 6e ;7c62ae7a;4;037090ba;02ec2294;037090ca;0019c71c;00000004;00000000;0019c714;0019c71c
15;Read ;4;rep movsd;dword ptr es:[edi], dword ptr [esi];0000009e;74 65 6e 74 ;7c62ae7a;4;037090be;02ec2298;037090ca;0019c71c;00000003;00000000;0019c714;0019c71c
